Sleep quality,Time in bed,Wake up,Heart rate,Activity (steps),Stressful day Total,Drank coffee Total,Drank tea Total,Ate late Total,Worked out Total,Fell asleep
100,512,:),59,0,0,0,0,0,0,2257
3,16,:|,72,0,1,0,0,0,0,2117
98,510,:|,57,0,0,0,0,0,0,2242
72,404,:),68,0,0,1,1,0,0,2212
83,432,:),60,0,0,1,1,0,0,34
78,438,:),57,0,0,1,0,1,0,2134
69,447,:),56,0,0,1,1,0,1,2132
74,455,:|,64,0,0,0,1,0,1,2124
81,559,:),62,0,1,1,1,0,0,2059
88,436,:),58,0,0,1,1,0,0,2258
77,541,:|,65,0,0,1,1,0,0,2227
89,530,:|,65,0,0,1,1,0,0,2238
78,488,:),53,0,0,0,1,0,0,2212
100,551,:),65,0,0,0,1,0,1,2101
100,486,:),55,0,0,1,1,0,0,2214
88,433,:),60,0,0,1,1,0,1,2148
87,442,:),60,0,0,0,1,0,0,2132
83,411,:),94,0,0,1,1,0,0,211
93,471,:),57,0,0,1,1,0,0,2355
58,432,:),67,0,0,1,0,0,0,2151
16,73,:),58,0,0,0,0,0,0,506
75,480,:|,54,0,0,1,1,0,1,2145
80,482,:|,60,0,0,1,1,0,1,2142
87,462,:),75,0,0,1,1,0,1,2234
87,559,:),58,0,0,1,0,0,0,2055
83,455,:|,66,0,1,1,1,0,0,2236
76,457,:),57,0,1,1,1,0,0,2143
67,425,:),63,0,0,1,1,0,1,2223
93,483,:),62,0,1,1,1,0,0,13
64,433,:),56,0,0,1,1,0,0,2155
75,469,:),61,0,0,0,1,0,0,2230
72,452,:),61,0,0,1,1,0,0,2247
70,427,:),57,0,0,0,1,0,1,2303
89,497,:),61,0,0,1,1,0,0,2230
85,497,:),58,0,0,1,0,0,0,2155
59,480,:),60,0,0,1,0,0,0,2220
67,456,:),57,0,0,1,1,0,1,2153
69,409,:),53,0,0,1,1,0,1,2234
74,424,:),60,0,0,1,0,0,0,2216
78,373,:),65,0,0,1,1,0,1,2
70,405,:),55,0,0,1,1,0,0,2220
77,460,:),66,0,1,1,1,0,0,2239
72,420,:),55,0,0,1,1,0,1,31
92,535,:),56,0,0,1,1,0,0,2254
87,482,:),60,0,0,1,0,0,0,2218
69,469,:),62,0,0,1,1,0,0,2230
90,474,:),61,0,0,0,1,0,1,2142
88,569,:),62,0,0,1,0,0,0,2014
61,463,:),62,0,0,1,1,0,1,2147
54,559,:),68,0,1,1,1,0,1,2053
86,470,:),58,0,0,1,1,0,0,2229
69,445,:),61,0,0,1,0,0,0,2254
99,530,:),67,0,0,1,1,0,0,2128
82,481,:),71,0,0,1,1,0,0,2217
77,460,:),63,0,0,1,1,0,0,2139
72,456,:),60,0,0,1,1,0,1,2144
82,420,:),62,0,0,0,0,0,0,2150
75,452,:),54,0,0,1,1,0,0,2148
91,483,:),62,0,0,1,1,0,1,2357
74,409,:),66,0,0,1,0,0,0,110
75,502,:),65,0,0,1,1,0,0,2307
84,487,:),58,0,0,1,0,0,0,2211
92,483,:),54,0,0,0,1,0,1,2123
82,417,:),64,0,0,1,0,0,1,2230
84,452,:),55,0,0,1,1,0,1,2217
79,533,:),55,0,0,1,1,0,0,2122
100,541,:),51,0,0,0,1,0,0,2117
81,412,:),52,0,0,0,1,0,0,2209
97,456,:),52,0,0,1,1,0,0,2316
84,456,:),58,0,0,1,1,0,0,2204
78,445,:),57,0,0,0,1,0,1,2219
81,421,:),63,0,0,1,1,0,1,28
82,419,:),58,0,0,1,1,0,0,2320
59,452,:),53,0,1,1,1,0,1,2350
77,460,:),58,0,0,1,1,0,0,2237
77,459,:),67,0,1,1,1,0,0,2131
100,540,:),61,0,0,1,1,0,0,2253
70,427,:),64,0,0,1,1,1,0,2151
77,441,:),59,0,0,0,1,0,1,2135
53,438,:),59,0,0,1,0,0,1,2141
77,412,:),60,0,1,1,1,0,0,2313
65,466,:),91,0,0,1,0,0,1,2220
83,474,:),62,0,0,1,1,0,1,2223
50,454,:),59,0,0,1,1,1,1,2147
89,454,:),54,0,0,0,1,0,1,2122
61,303,:),75,0,1,1,1,0,1,158
66,408,:),50,0,0,1,1,0,1,2211
75,423,:),55,0,0,0,1,0,1,2157
72,407,:),59,0,0,0,1,0,1,2204
79,448,:),51,0,0,1,1,0,0,2249
93,646,:),59,0,1,0,1,0,0,2103
91,461,:),59,0,0,0,0,0,0,2239
59,422,:),62,0,0,0,1,0,1,2222
74,398,:),60,0,0,1,1,0,1,2247
67,467,:),61,0,0,1,1,0,0,2258
81,469,:),52,0,0,1,1,0,1,2310
72,423,:),76,0,0,1,0,0,0,2316
76,479,:),57,0,0,1,1,0,1,2220
78,420,:),64,0,0,1,1,0,0,2219
23,115,:),57,0,0,0,0,0,0,345
75,459,:),58,0,0,1,0,0,0,2201
92,544,:),68,0,1,0,1,0,1,2112
88,468,:),64,0,0,1,1,0,1,2231
82,463,:),58,0,1,1,0,0,1,2237
98,571,:),69,0,1,1,0,0,0,2229
69,511,:),74,0,0,1,0,0,0,2138
79,462,:),67,0,0,1,1,0,1,2202
93,470,:),58,0,0,1,0,0,1,2229
68,487,:),58,0,1,1,1,0,1,2132
71,394,:),61,0,0,1,1,0,1,2306
88,480,:),64,0,0,1,0,0,1,2140
77,409,:),64,0,0,1,1,0,1,141
88,419,:),68,0,0,1,0,0,1,26
78,439,:),57,0,0,1,1,0,1,2135
97,457,:),54,0,0,1,0,0,1,19
72,538,:),50,0,0,1,1,0,1,2111
58,420,:),56,0,0,1,0,0,0,2144
90,492,:),57,0,0,1,1,0,1,2233
79,492,:),51,0,0,1,0,0,1,2148
69,443,:),58,0,0,1,0,0,0,2236
90,469,:),52,0,0,1,0,0,0,2159
83,450,:),52,0,0,1,1,1,0,2159
93,506,:|,60,0,0,0,0,0,0,2119
85,479,:),62,0,0,1,1,0,0,2201
84,480,:),66,0,0,1,0,0,0,2200
85,479,:),65,0,0,0,1,0,0,2200
77,453,:),57,0,0,1,0,0,0,2336
84,447,:),61,0,0,1,1,0,0,2245
80,500,:),59,0,0,1,1,0,1,2159
60,442,:),56,0,0,1,1,0,1,2257
79,488,:),55,0,0,1,1,0,1,2207
81,521,:),58,0,0,1,1,0,1,2134
77,449,:),49,0,0,1,1,0,1,2137
82,482,:),61,0,0,0,1,0,0,2257
90,482,:),60,0,0,0,1,0,1,2112
89,445,:),58,0,0,1,1,1,1,2254
62,376,:),55,0,0,1,1,0,1,2357
69,437,:),57,0,0,1,0,0,1,9
100,511,:),50,0,1,1,0,0,0,27
68,460,:),65,0,0,0,1,0,1,2240
67,488,:),58,0,0,1,1,0,1,2212
88,522,:|,62,0,0,1,1,0,0,2138
77,459,:),53,0,0,1,1,0,0,2241
80,464,:),70,0,0,1,1,0,1,2146
77,415,:),65,0,0,1,1,0,0,2309
83,471,:|,53,0,0,0,1,0,1,2228
81,460,:|,57,0,0,0,1,0,1,2230
83,489,:|,55,0,0,1,1,0,1,2200
93,474,:),98,0,0,1,1,0,1,19
96,526,:),59,0,0,1,1,0,0,2259
72,493,:),62,0,0,1,1,0,0,2217
80,443,:),63,0,0,1,1,1,1,2207
73,410,:),62,0,0,1,1,0,1,2310
58,385,:),59,0,0,1,1,0,1,120
84,437,:),57,0,0,1,1,0,1,2303
86,440,:),68,0,0,1,1,0,0,2210
86,460,:),61,0,1,0,1,0,1,2120
93,493,:),67,0,1,0,1,0,1,2157
80,482,:),52,0,0,1,0,0,0,2207
72,480,:|,56,0,0,1,1,0,1,2219
79,513,:|,71,0,0,1,1,0,0,2353
85,504,:),65,0,0,1,1,0,0,2349
